Wall time,Step,Value
1588307466.9208918,1,17432.9140625
1588307531.8712606,2,21125.29296875
1588307598.4297535,3,20793.9765625
1588307664.4834414,4,20890.505859375
1588307730.6808264,5,20800.09765625
1588307796.8696282,6,20727.611328125
1588307863.4725113,7,20486.880859375
1588307929.6672502,8,20742.31640625
1588307995.4140775,9,20802.787109375
1588308061.9584115,10,20698.19140625
1588308127.9231842,11,20770.080078125
1588308194.4257617,12,20572.63671875
1588308260.5032055,13,20627.7890625
1588308326.608117,14,20730.392578125
1588308392.5581567,15,20742.720703125
1588308460.0455122,16,20864.69140625
1588308525.7981668,17,20902.0
1588308592.529469,18,20649.97265625
1588308658.142453,19,20861.111328125
1588308724.205347,20,20665.03125
1588308790.1829524,21,20843.04296875
1588308856.410226,22,20736.892578125
1588308922.8067896,23,20700.626953125
1588308988.9915292,24,20755.142578125
1588309055.5341785,25,20571.1796875
1588309121.9471884,26,20687.77734375
1588309187.9828525,27,20718.228515625
1588309254.7018957,28,20474.146484375
1588309321.260431,29,20560.66015625
1588309386.5163002,30,20904.7421875
1588309452.2439408,31,20860.87109375
1588309518.1327941,32,20735.31640625
1588309583.4001465,33,20934.994140625
1588309648.8958347,34,20804.814453125
1588309715.8483624,35,20823.294921875
1588309782.2893255,36,20643.853515625
1588309848.0532954,37,20813.310546875
1588309914.5120895,38,20632.43359375
1588309980.5147748,39,20793.48828125
1588310046.952985,40,20667.931640625
1588310112.5706847,41,20805.6953125
1588310178.355085,42,20783.009765625
1588310244.2657168,43,20837.32421875
1588310311.054498,44,20723.01953125
1588310376.9022396,45,20872.8828125
1588310443.5030148,46,20830.283203125
1588310509.7225442,47,20861.05078125
1588310598.7176154,48,15544.0263671875
1588310665.8629591,49,20657.966796875
1588310732.2214565,50,20864.423828125
1588310799.0889952,51,20619.302734375
1588310869.5208995,52,19341.95703125
1588310935.8155596,53,20775.701171875
1588311006.3914776,54,19529.4375
1588311072.942551,55,20763.556640625
1588311143.0308547,56,19548.759765625
1588311217.9060946,57,18084.8046875
1588311284.3944576,58,20575.404296875
1588311350.531556,59,20700.005859375
1588311416.7652,60,20598.1640625
1588311483.1305113,61,20756.185546875
1588311549.3702595,62,20692.03125
1588311615.8585408,63,20671.42578125
1588311682.8157887,64,20690.232421875
1588311749.1093729,65,20697.427734375
1588311815.2621732,66,20714.369140625
1588311881.3213747,67,20725.041015625
1588311947.633164,68,20606.072265625
1588312013.8931508,69,20637.46484375
1588312080.1510243,70,20742.224609375
1588312148.4752226,71,19930.009765625
1588312214.4393227,72,20754.51953125
1588312280.392342,73,20806.599609375
1588312347.013056,74,20632.994140625
1588312413.1647496,75,20786.451171875
1588312479.2076812,76,20781.669921875
1588312545.4629347,77,20674.033203125
1588312612.0917716,78,20710.166015625
1588312677.9071524,79,20755.119140625
1588312744.232716,80,20623.14453125
1588312811.4324305,81,20691.00390625
1588312876.8256524,82,20929.6953125
1588312943.8070867,83,20661.619140625
1588313010.185133,84,20600.580078125
1588313076.2001739,85,20819.046875
1588313146.049684,86,20726.732421875
1588313212.5480492,87,20703.513671875
1588313278.9388409,88,20775.048828125
1588313345.1755176,89,20760.748046875
1588313411.4510684,90,20707.24609375
