Wall time,Step,Value
1581261857.123994,1,9376.28515625
1581261979.236205,2,11132.8330078125
1581262103.1230748,3,11111.01953125
1581262226.1235018,4,11173.265625
1581262348.7036388,5,11165.71484375
1581262471.7319534,6,11176.7041015625
1581262594.3474288,7,11068.8427734375
1581262716.5845954,8,11167.5146484375
1581262840.178244,9,11062.916015625
1581262962.4901297,10,11170.8525390625
1581263084.504836,11,11188.380859375
1581263205.54611,12,11260.6806640625
1581263326.5042028,13,11263.1484375
1581263448.554494,14,11160.6396484375
1581263570.705739,15,11224.99609375
1581263691.4417336,16,11247.3623046875
1581263814.7396946,17,11090.697265625
1581263935.6742094,18,11285.0927734375
1581264058.4553187,19,11199.96875
1581264180.003414,20,11250.93359375
1581264302.863731,21,11096.2255859375
1581264424.954279,22,11198.4287109375
1581264545.9148436,23,11279.5361328125
1581264666.0356514,24,11326.7392578125
1581264787.4687567,25,11240.650390625
1581264908.4886327,26,11273.28515625
1581265028.925152,27,11315.5166015625
1581265150.8561058,28,11253.73828125
1581265271.4256735,29,11311.9033203125
1581265392.9751894,30,11283.474609375
1581265515.4783852,31,11156.8681640625
1581265636.2268264,32,11309.4931640625
1581265757.9519475,33,11229.8876953125
1581265879.6674416,34,11284.22265625
1581266000.4097295,35,11313.4072265625
1581266123.4813905,36,11185.8974609375
1581266245.6426647,37,11243.869140625
1581266367.003112,38,11294.7578125
1581266488.3851974,39,11232.974609375
1581266609.3708503,40,11312.8974609375
1581266731.0749927,41,11183.2314453125
1581266852.4006686,42,11275.1708984375
1581266973.6185963,43,11262.798828125
1581267096.0800495,44,11305.8564453125
1581267217.7712543,45,11282.5654296875
1581267338.5095038,46,11317.52734375
1581267459.241921,47,11274.3271484375
1581267580.3416374,48,11301.1435546875
1581267701.6367319,49,11324.8876953125
1581267822.9675143,50,11215.22265625
1581267945.4172308,51,11226.25
1581268066.1810036,52,11341.36328125
1581268187.1512535,53,11297.8046875
1581268309.646992,54,11283.1103515625
1581268430.6127734,55,11264.31640625
1581268551.851772,56,11265.5029296875
1581268673.7181075,57,11265.80859375
1581268794.8447504,58,11255.5986328125
1581268916.020384,59,11247.3583984375
1581269036.858193,60,11305.9736328125
1581269157.6691415,61,11280.7060546875
1581269279.8479145,62,11321.09765625
1581269400.8657503,63,11352.376953125
1581269521.4767163,64,11373.3359375
1581269643.3899446,65,11202.701171875
1581269764.4389737,66,11314.544921875
1581269885.249766,67,11296.203125
1581270005.9864233,68,11313.67578125
1581270127.84002,69,11241.28515625
1581270248.7366805,70,11343.1455078125
1581270369.9112165,71,11271.1494140625
1581270492.7763133,72,11184.43359375
1581270613.8573868,73,11279.255859375
1581270736.2459784,74,11193.4453125
1581270858.1928875,75,11272.3583984375
1581270980.4134552,76,11269.046875
1581271102.3367724,77,11165.3349609375
1581271224.2881362,78,11262.705078125
1581271345.486371,79,11252.5263671875
1581271467.0924823,80,11243.4130859375
1581271587.4644303,81,11338.2431640625
1581271707.7188585,82,11343.9150390625
1581271827.8996723,83,11324.3740234375
1581271950.1601162,84,11289.203125
1581272070.7995038,85,11272.345703125
1581272192.274875,86,11256.4599609375
1581272312.6346567,87,11307.53125
1581272433.7985852,88,11299.9072265625
1581272553.7775674,89,11362.6357421875
1581272675.4718912,90,11257.3056640625
