Wall time,Step,Value
1588341243.8980734,1,27145.388671875
1588341280.8690574,2,38018.08984375
1588341317.916363,3,38252.8046875
1588341354.5332334,4,38197.88671875
1588341391.9700356,5,37258.98046875
1588341428.9393044,6,38092.53515625
1588341466.0739138,7,37774.00390625
1588341503.972945,8,36658.1171875
1588341541.705914,9,37353.7109375
1588341578.696477,10,37975.8125
1588341615.98017,11,37372.3125
1588341653.7502885,12,37094.08203125
1588341690.8539197,13,37572.40234375
1588341728.4077256,14,37038.33203125
1588341766.0714874,15,37298.40625
1588341803.4691606,16,37457.6953125
1588341840.9369009,17,37277.1328125
1588341878.4267623,18,37185.7265625
1588341916.2680576,19,36792.515625
1588341953.5027757,20,37602.65234375
1588341992.2914135,21,35724.33203125
1588342029.5081952,22,37515.8515625
1588342068.3743103,23,35604.84765625
1588342105.9423754,24,37118.41796875
1588342143.2615929,25,37251.24609375
1588342180.7179496,26,37324.98046875
1588342217.7710817,27,37921.53125
1588342255.4293358,28,37039.59375
1588342292.5334353,29,37543.64453125
1588342330.0491178,30,37275.00390625
1588342367.1288242,31,37745.55859375
1588342404.7900994,32,37162.20703125
1588342441.998342,33,37838.53125
1588342479.2507937,34,37362.296875
1588342516.7625692,35,37265.0859375
1588342553.565576,36,38105.37890625
1588342590.6776118,37,37774.4296875
1588342627.8654058,38,37655.73046875
1588342664.5032086,39,38232.21875
1588342701.8913703,40,37307.65234375
1588342739.4862761,41,37185.6640625
1588342776.7453659,42,37529.96484375
1588342813.9702864,43,37477.453125
1588342851.490329,44,37284.26171875
1588342888.363004,45,38050.77734375
1588342925.3033426,46,37907.953125
1588342962.4784093,47,37669.65234375
1588342999.668381,48,37690.0
1588343038.02207,49,36089.19921875
1588343075.6910162,50,37011.1015625
1588343113.3183177,51,37126.6484375
1588343150.1702912,52,37800.96484375
1588343187.916749,53,37039.71484375
1588343224.9813445,54,37811.0234375
1588343262.4932086,55,37161.984375
1588343299.830651,56,37333.765625
1588343336.9884257,57,37685.07421875
1588343374.1315353,58,37504.6640625
1588343411.5991383,59,37222.375
1588343448.7047777,60,37613.18359375
1588343486.1348171,61,37304.0078125
1588343523.7101598,62,37492.15234375
1588343561.0179343,63,37692.26171875
1588343598.4364855,64,37266.67578125
1588343636.2482522,65,36929.16015625
1588343673.0919273,66,38194.6796875
1588343709.989147,67,37961.8671875
1588343747.3961234,68,37321.2265625
1588343784.54901,69,37743.5390625
1588343821.8663993,70,37297.9140625
1588343859.4803827,71,37481.19921875
1588343896.668413,72,37618.3203125
1588343933.9874814,73,37377.77734375
1588343971.5214067,74,37042.70703125
1588344008.33653,75,38166.38671875
1588344045.6631715,76,37430.890625
1588344082.9398758,77,37517.20703125
1588344120.0542204,78,37695.42578125
1588344157.3231552,79,37444.54296875
1588344194.5230482,80,37482.921875
1588344231.8286667,81,37680.3515625
1588344269.084618,82,37668.1875
1588344306.5115767,83,37305.0703125
1588344344.0224464,84,37334.25390625
1588344381.4750116,85,37447.21484375
1588344419.1808038,86,36975.2578125
1588344457.2521172,87,36489.234375
1588344494.3906608,88,37811.5546875
1588344531.8532655,89,37373.94140625
1588344568.8164399,90,37908.984375
